Ambit_InchiKey,Original_Entry_ID,Entrez_ID,Activity_Flag,pXC50,DB,Original_Assay_ID,Tax_ID,Gene_Symbol,Ortholog_Group,SMILES
IAIACGGIZWXQIK-UHFFFAOYNA-N,CHEMBL458639,6532,A,7.37,chembl20,541287,9606,SLC6A4,4061,C1=CC=C(C=C1)C2CCC(O2)CN
LAWDOCPCCFOXQO-UHFFFAOYNA-N,CHEMBL1078039,25553,A,6.02,chembl20,622493,10116,SLC6A4,4061,C(C=1C=CC(=CC1)SC)C(C)NCC
LCGABASJFJNHGF-UHFFFAOYNA-N,44613451,25553,A,6.14026,pubchem,471630,10116,SLC6A4,4061,S(C1=CC=C(CC(NC)C)C=C1)CC
KHKLNHSDQIKVSU-UHFFFAOYNA-N,11506733,6532,A,7.49485,pubchem,393260,9606,SLC6A4,4061,ClC1=CC=C(C2OC(CC2)CN)C=C1
MLNFJHDSSYRDFN-UHFFFAOYNA-N,CHEMBL1078099,25553,A,5.27,chembl20,622494,10116,SLC6A4,4061,NC(CC)C=1C=CC(=CC1)SCCCCC
LKTJWDXCFJJUGY-UHFFFAOYNA-N,CHEMBL456639,6532,A,7.17,chembl20,541287,9606,SLC6A4,4061,C=1C=CC(=CC1)CCC2CCC(O2)CN
NZCDMSTWUUULEH-UHFFFAOYNA-N,11644566,6532,A,7.30103,pubchem,393260,9606,SLC6A4,4061,BrC1=CC=C(C2OC(CC2)CN)C=C1
OOYDQQMBWSRGBX-UHFFFAOYNA-N,CHEMBL2347030,6532,A,7.62,chembl20,950695,9606,SLC6A4,4061,C1=CC(=C2C(=C1)C(=CN2)CCCN)F
OLENSVFSNAULML-UHFFFAOYNA-N,CHEMBL6330,25553,A,6.97,chembl20,201505,10116,SLC6A4,4061,C12=C(C(C)=CC(=C1)CC(N)C)OCO2
PCPVEGXNPCSDGS-UHFFFAOYNA-N,CHEMBL1077883,25553,A,5.89,chembl20,622493,10116,SLC6A4,4061,C(C(CC)N)C=1C=CC(=CC1)SCC
PCPVEGXNPCSDGS-UHFFFAOYNA-N,CHEMBL1077883,6532,A,5.23,chembl20,622498,9606,SLC6A4,4061,C(C(CC)N)C=1C=CC(=CC1)SCC
OSYUYUPNSGSVAL-UHFFFAOYNA-N,CHEMBL519717,25553,A,5.54,chembl20,491869,10116,SLC6A4,4061,N1CC2(C3=CC=CC=C3)C(C1)(C2)F
PTKQUPHPZRJQRH-UHFFFAOYNA-N,71541195,6532,A,5.82391,pubchem,727355,9606,SLC6A4,4061,ClC=1C=C(C2CNCC=CC2)C=CC1F
QZAYGJVTTNCVMB-UHFFFAOYNA-N,CHEMBL39,25553,A,6.13,chembl20,201828,10116,SLC6A4,4061,OC1=CC2=C(C=C1)NC=C2CCN
VHBRUQHAUJNUAM-UHFFFAOYNA-N,10154356,25553,A,6.75449,pubchem,444359,10116,SLC6A4,4061,N1C2CCC1C=C(C2)C3=CC=CC=C3
VBKWQJLSFFFYLC-UHFFFAOYNA-N,CHEMBL2030637,6532,A,5.36,chembl20,818105,9606,SLC6A4,4061,C(CN1CCCC1)CC=2C=CC=C(F)C2
VOEFELLSAAJCHJ-UHFFFAOYNA-N,CHEMBL3298873,25553,A,6.39,chembl20,1367806,10116,SLC6A4,4061,C(C(C)NC)(=O)C1=CC(=CC=C1)Cl
SHXWCVYOXRDMCX-UHFFFAOYNA-N,CHEMBL3189075,25553,A,6.68,chembl20,1329555,10116,SLC6A4,4061,O1C=2C(OC1)=CC=C(C2)CC(NC)C
SHXWCVYOXRDMCX-UHFFFAOYNA-N,CHEMBL43048,6532,A,9.14,chembl20,556830,9606,SLC6A4,4061,O1C=2C(OC1)=CC=C(C2)CC(NC)C
UWEORUSMUYMWMZ-UHFFFAOYNA-N,CHEMBL31059,25553,A,6.47,chembl20,201644,10116,SLC6A4,4061,C=12C(=C(CC(N)C)C=CC1NCC2)Cl
WHXRWSJORCUAFO-UHFFFAOYNA-N,CHEMBL31171,25553,A,5.44,chembl20,201644,10116,SLC6A4,4061,C12=C(NCC1)C=CC(=C2)CC(N)CC
YAVKNEHUAXPRSK-UHFFFAOYNA-N,CHEMBL32958,25553,A,5.74,chembl20,201644,10116,SLC6A4,4061,C12=C(NCC1)C=CC(=C2)CC(N)C
WOBAXWXQKSIHCH-UHFFFAOYNA-N,44399737,25553,A,5.85294,pubchem,471630,10116,SLC6A4,4061,S(C1=CC=C(CC(N)C)C=C1)CC
WSDWYDJPBFHVDU-UHFFFAOYNA-N,44613192,25553,A,6.36051,pubchem,471630,10116,SLC6A4,4061,S(C1=CC=C(CC(NO)C)C=C1)C
YSGVIJFMBOEZJZ-UHFFFAOYNA-N,71541193,6532,A,6.22185,pubchem,727355,9606,SLC6A4,4061,ClC=1C=C(C2CNCC=CC2)C=CC1C
AZYZYLIFKWPXDQ-UHFFFAOYNA-N,CHEMBL2347170,6532,A,7.62,chembl20,950695,9606,SLC6A4,4061,C1=CC(=C2C(=C1)C(=CN2)CCSCCN)F
AYWBNYYILPCQOL-UHFFFAOYNA-N,10911504,25553,A,5.29158,pubchem,204538,10116,SLC6A4,4061,ClC1=CC=C(C2(CCN(CC2)C)C#N)C=C1
AXPWXKFQWMGHHC-UHFFFAOYNA-N,44613065,25553,A,5.73189,pubchem,471630,10116,SLC6A4,4061,S(C1=CC=C(CC(NC(C)C)C)C=C1)C
BZVOKNDAJHHFPT-UHFFFAOYNA-N,12044728,25553,A,8.18046,pubchem,204703,10116,SLC6A4,4061,IC1=CC=2C(=NC(N3CCNCC3)=CC2)C=C1
BMRJUXFHOOHDBF-UHFFFAOYNA-N,CHEMBL219224,6532,A,5.72,chembl20,423470,9606,SLC6A4,4061,C(C1CCCCN1)(C2=CC=C(C=C2)Cl)C
CLUSUWZTCMHKGO-UHFFFAOYNA-N,73347528,6532,A,7.49485,pubchem,761327,9606,SLC6A4,4061,ClC=1C=C(C(C2CCNCC2)COC)C=CC1F
CSGVNYGGRSSQOB-UHFFFAOYNA-N,CHEMBL454285,25553,A,5.38,chembl20,491869,10116,SLC6A4,4061,N1CC2(C3=C(C=C(S3)Cl)Cl)C(C1)C2
CRMGHEJTXVVOGH-UHFFFAOYNA-N,44561251,25553,A,6.72125,pubchem,343840,10116,SLC6A4,4061,S1C(C23C(C2)CNC3)=CC=C1C(F)(F)F
CJUVIUZOUUBMJB-UHFFFAOYNA-N,CHEMBL376852,6532,A,5.62,chembl20,423470,9606,SLC6A4,4061,C(C1CCCCN1)(C2=CC=C(C=C2)Cl)CC
CKWXQTAHUOUCRD-UHFFFAOYNA-N,CHEMBL3298869,25553,A,6.18,chembl20,1367806,10116,SLC6A4,4061,C(C(C)NC1CC1)(=O)C2=CC=C(C=C2)C
CIRSPTXGPFAXRE-UHFFFAOYNA-N,CHEMBL27811,25553,A,8.22,chembl20,201994,10116,SLC6A4,4061,C1(=CNC2=C1C=CC=C2)C=3CCNCC3
CVZSPCRLZUDYPH-UHFFFAOYNA-N,73353582,6532,A,6.74473,pubchem,761327,9606,SLC6A4,4061,ClC=1C=C(C(C2CCNCC2)COC)C=CC1
AJDPIZNWKYQWAI-UHFFFAOYNA-N,44429185,6532,A,6.66354,pubchem,296171,9606,SLC6A4,4061,ClC=1C=C(C2=CCNCC2C(OCC)=O)C=CC1Cl
FXAXBZLCZVSQJT-UHFFFAOYNA-N,44613456,25553,A,5.74376,pubchem,471630,10116,SLC6A4,4061,S(C1=CC=C(CC(NCC)CC)C=C1)CC
FZRYLYZNENTFJM-UHFFFAOYNA-N,CHEMBL448912,6532,A,5.65,chembl20,541289,9606,SLC6A4,4061,C=1C=C(C=CC1)CC2CCC(O2)CCN
DQNSCWDLYXWMBE-UHFFFAOYNA-N,CHEMBL3298865,25553,A,6.21,chembl20,1367806,10116,SLC6A4,4061,C(C(C)NC1CC1)(=O)C2=CC(=CC=C2)Br
DQTXEZQCBHGHHZ-UHFFFAOYNA-N,CHEMBL34955,25553,A,6.44,chembl20,201653,10116,SLC6A4,4061,C1(C2=CC=C(C=C2)Cl)C3CCC1CNC3
DUXUOVCRHFFWDM-UHFFFAOYNA-N,71661533,6532,A,7.92082,pubchem,738127,9606,SLC6A4,4061,FC=1C=C2C(CCC(N)CN)=CNC2=CC1
DVPCSQHSLVMBEG-UHFFFAOYNA-N,44613576,25553,A,6.0846,pubchem,471630,10116,SLC6A4,4061,S(C1=CC=C(CC(NCC)CC)C=C1)C
GEYRPCLYYYKUPW-UHFFFAOYNA-N,CHEMBL2347171,6532,A,6.27,chembl20,950695,9606,SLC6A4,4061,C1=CC(=C2C(=C1)C(=CN2)CCCSCCN)F
FPOOXERVBCKPAG-UHFFFAOYNA-N,CHEMBL1078716,6532,A,5.6,chembl20,622498,9606,SLC6A4,4061,NC(CC=1C=CC(=CC1)SC=2C=CC=CC2)C
FRXUZFQLSGFGPV-UHFFFAOYNA-N,44561205,25553,A,6.85387,pubchem,343840,10116,SLC6A4,4061,O1C(C23C(C2)CNC3)=CC=4C1=CC=CC4
FUPSDUNHOVTEQY-UHFFFAOYNA-N,44613066,25553,A,6.15366,pubchem,471630,10116,SLC6A4,4061,S(C1=CC=C(CC(NC2CC2)C)C=C1)C
DFTUMNXENRXPEC-UHFFFAOYNA-N,71727754,6532,A,7.10237,pubchem,761327,9606,SLC6A4,4061,ClC=1C=C(C(C2CCNCC2)CO)C=CC1Cl
FLAQOJMPRHHQFA-UHFFFAOYNA-N,53325042,6532,A,6.16178,pubchem,578386,9606,SLC6A4,4061,ClC=1C=C(C2(CCCCC2)CNC)C=CC1F
BTTOTVJMLUUAJV-UHFFFAOYNA-N,CHEMBL2171408,6532,A,6.59,chembl20,863451,9606,SLC6A4,4061,C1NCC1C(C2=CC=C(C(=C2)Cl)Cl)OCC
BSMNRYCSBFHEMQ-UHFFFAOYNA-N,CHEMBL528995,25553,A,7.57,chembl20,491869,10116,SLC6A4,4061,N1CC2(C3=CC=C(C(=C3)Cl)Cl)C(C2)C1
BVNCGPDTVNALJQ-UHFFFAOYNA-N,CHEMBL1077898,25553,A,6.21,chembl20,622493,10116,SLC6A4,4061,C(C(CC)NCCC)C=1C=CC(=CC1)SC
MCCAWZYTZTWQBW-UHFFFAOYNA-N,71727758,6532,A,8.04096,pubchem,761327,9606,SLC6A4,4061,ClC=1C=C(C(C2CCNCC2)CSC)C=CC1Cl
NDMODESSMWGHBK-UHFFFAOYNA-N,51346818,6532,A,6.77211,pubchem,578419,9606,SLC6A4,4061,ClC=1C=C(C2(CCCCC2)CNC)C=CC1Cl
HJFQUPKLSAEIPC-UHFFFAOYNA-N,44613690,25553,A,6.2233,pubchem,471630,10116,SLC6A4,4061,S(C1=CC=C(CC(NO)CC)C=C1)C
HFQMYSHATTXRTC-UHFFFAOYNA-N,CHEMBL30344,25553,A,7.0,chembl20,201644,10116,SLC6A4,4061,C1(=CC(C)=C(C=C1)CC(N)C)N(C)C
HEMZPQIVSYHTOH-UHFFFAOYNA-N,CHEMBL2347168,6532,A,8.64,chembl20,950695,9606,SLC6A4,4061,C=1(C=CC2=C(C1)C(=CN2)CCSCCN)F
HDLNQDARKJUPIY-UHFFFAOYNA-N,CHEMBL456638,6532,A,7.62,chembl20,541289,9606,SLC6A4,4061,C=1C=CC(C2OC(CC2)CN)=C3C1C=CC=C3
IHFKHNCURWJDHC-UHFFFAOYNA-N,CHEMBL2326690,6532,A,6.62,chembl20,939921,9606,SLC6A4,4061,C1C(CNCC=C1)C=2OC3=C(C2)C=CC=C3
JCYQFYGFKORSIY-UHFFFAOYNA-N,CHEMBL138195,6532,A,7.51,chembl20,201368,9606,SLC6A4,4061,C1=2C(OCCCCNC)=CC=CC1=CC=CC2
JDIRZPZVUPWDQO-UHFFFAOYNA-N,44613453,25553,A,6.20412,pubchem,471630,10116,SLC6A4,4061,S(C1=CC=C(CC(NO)C)C=C1)CC
JPJSEWJNHDIYAS-UHFFFAOYNA-N,44613578,25553,A,5.71242,pubchem,471630,10116,SLC6A4,4061,S(C1=CC=C(CC(NC(C)C)CC)C=C1)C
JTOBXLVKTKGLSL-UHFFFAOYNA-N,CHEMBL1683871,6532,A,6.7,chembl20,726926,9606,SLC6A4,4061,C1C(CCCC1)(C2=CC=C(C(=C2)Cl)Cl)CN
HOXBFDRIDWJAEN-UHFFFAOYNA-N,CHEMBL1683885,6532,A,5.73,chembl20,726926,9606,SLC6A4,4061,C1C(CCCC1)(C2=CC=C(C=C2)Cl)CNC
HKOVZQZDXNHYOJ-UHFFFAOYNA-N,44542658,6532,A,6.73283,pubchem,444521,9606,SLC6A4,4061,ClC=1C=C(C(=O)C(NC2CCC2)C)C=CC1
HKYWCJOLDLYIOL-UHFFFAOYNA-N,CHEMBL429771,25553,A,7.3,chembl20,178951,10116,SLC6A4,4061,C1(=CNC=2C1=CC=CC2)CC3CCNCC3
HKYWCJOLDLYIOL-UHFFFAOYNA-N,CHEMBL429771,6532,A,6.26,chembl20,90012,9606,SLC6A4,4061,C1(=CNC=2C1=CC=CC2)CC3CCNCC3
GCPODIFNAITRSC-UHFFFAOYNA-N,44561134,25553,A,5.74473,pubchem,343840,10116,SLC6A4,4061,N1CC2(C(C2C1)(C)C)C3=CC=CC=C3
GSFXEINORRSYJW-UHFFFAOYNA-N,10264015,25553,A,8.77469,pubchem,204703,10116,SLC6A4,4061,ClC1=CC=2C(=NC(N3CCNCC3)=CC2)C=C1
IUENQRYBZHHPBN-UHFFFAOYNA-N,152215,6532,A,6.16115,pubchem,295434,9606,SLC6A4,4061,N1(CCC(C=2C=3C(NC2)=CC=CC3)=CC1)C
JKTMKXOTSKFHNA-UHFFFAOYNA-N,11255196,25553,A,6.0942,pubchem,204538,10116,SLC6A4,4061,ClC=1C=C(C2(CCN(CC2)C)C#N)C=CC1Cl
LQQBIFPYEKWTOI-UHFFFAOYNA-N,CHEMBL1077900,25553,A,6.4,chembl20,622493,10116,SLC6A4,4061,C(C(CC)NCC#C)C=1C=CC(=CC1)SC
IELBAACIVCODPI-UHFFFAOYNA-N,CHEMBL566000,6532,A,5.01,chembl20,610771,9606,SLC6A4,4061,C1=CC(=CC=C1Cl)C(C(NC(C)(C)C)C)=O
HZILCAQYLMPMJC-UHFFFAOYNA-N,CHEMBL1077983,25553,A,5.84,chembl20,622493,10116,SLC6A4,4061,C(C(CC)NO)C=1C=CC(=CC1)SCC
LATQSQSLSPUYSC-UHFFFAOYNA-N,CHEMBL1078183,25553,A,6.16,chembl20,622493,10116,SLC6A4,4061,C(C=1C=CC(=CC1)SC)C(CC)N(OC)C
LCUQDUYHYRSPMJ-UHFFFAOYNA-N,CHEMBL508678,6532,A,5.57,chembl20,541289,9606,SLC6A4,4061,C1=CC=C(C=N1)CCC2CCC(O2)CN
KGWCLBPCJLUGQJ-UHFFFAOYNA-N,CHEMBL2171415,6532,A,7.36,chembl20,863448,9606,SLC6A4,4061,C1NCC1C(C2=CC=C(C(=C2)Cl)Cl)OCCC
LRZMNFBWNOBYAQ-UHFFFAOYNA-N,CHEMBL412308,25553,A,5.66,chembl20,201644,10116,SLC6A4,4061,C1=2N(CCC1=CC(=C(C2)C)CC(N)C)CC
MTNSNFALUNPDHT-UHFFFAOYNA-N,CHEMBL2347179,6532,A,6.74,chembl20,950695,9606,SLC6A4,4061,C=1(C=CC2=C(C1)C(=CN2)CCCC#N)F
LKSXLNMBLGXHQS-UHFFFAOYNA-N,CHEMBL570638,25553,A,6.89,chembl20,595537,10116,SLC6A4,4061,C12CCC(CC(C3=CC=C(C=C3)F)=C1)N2
LJALDWYVBOLBGW-UHFFFAOYNA-N,53322397,6532,A,6.80134,pubchem,578386,9606,SLC6A4,4061,ClC=1C=C(C2(CCCCC2)CNCC)C=CC1Cl
MDSVGWNIKXFCMY-UHFFFAOYNA-N,CHEMBL1078834,25553,A,5.45,chembl20,622493,10116,SLC6A4,4061,C(C(C)NCCOC)C=1C=CC(=CC1)SC
MUOXAGUZMVATIC-UHFFFAOYNA-N,CHEMBL453996,6532,A,8.1,chembl20,564827,9606,SLC6A4,4061,C=1C=C2C=C(C=CC2=CC1)OCC3CCNCC3
MXNHEKIHSVXJPG-UHFFFAOYNA-N,CHEMBL503234,6532,A,7.06,chembl20,564827,9606,SLC6A4,4061,C=1C=C2C=C(C=CC2=CC1)CCN3CCNCC3
NYADKXRJISYHGA-UHFFFAOYNA-N,CHEMBL2326691,6532,A,6.59,chembl20,939921,9606,SLC6A4,4061,C1C(CN(CCC1)C)C2=CC(=C(C=C2)Cl)Cl
NVWCBJGYXNZMDM-UHFFFAOYNA-N,CHEMBL447828,25553,A,6.42,chembl20,201644,10116,SLC6A4,4061,C=1(C2=C(NCC2)C=CC1CC(N)C)C
OICPVJMMZDEJMO-UHFFFAOYNA-N,CHEMBL218847,6532,A,5.89,chembl20,423470,9606,SLC6A4,4061,C(C1=CC=C(C=C1)Cl)(CCC)C2CCCCN2
PCIZKUQSMBPAAB-UHFFFAOYNA-N,CHEMBL35185,25553,A,5.73,chembl20,201653,10116,SLC6A4,4061,C12C(C(CC1)CN(C2)C)C3=CC=CC=C3
OCCOPDTVLJQBPD-UHFFFAOYNA-N,CHEMBL364469,25553,A,6.62,chembl20,303735,10116,SLC6A4,4061,C1(C(CCN(C1)C)C=2C=CC(=CC2)Cl)CI
NIJMHWHGJVEAMA-UHFFFAOYNA-N,CHEMBL32588,25553,A,5.0,chembl20,201653,10116,SLC6A4,4061,C1(C2CCC1CNC2)(C3=CC=CC=C3)O
NEYKTXCIRZGHRE-UHFFFAOYNA-N,CHEMBL182386,6532,A,7.54,chembl20,312698,9606,SLC6A4,4061,N1C=C(CCCN(C)C)C=2C1=CC=CC2Cl
NFRBJBFYUNQIQP-UHFFFAOYNA-N,46882974,25553,A,6.284,pubchem,471630,10116,SLC6A4,4061,S(C1=CC=C(CC(N(C)C)C)C=C1)C
MKIHFWMBAKJYJL-UHFFFAOYNA-N,130261,25553,A,9.04096,pubchem,204703,10116,SLC6A4,4061,BrC1=CC=2C(=NC(N3CCNCC3)=CC2)C=C1
QYLKSFXBRALDIS-UHFFFAOYNA-N,CHEMBL566001,6532,A,5.6,chembl20,595699,9606,SLC6A4,4061,C1=CC(=CC=C1Br)C(C(NC(C)(C)C)C)=O
PKPUYCARJYPIIE-UHFFFAOYNA-N,CHEMBL280749,25553,A,5.72,chembl20,201644,10116,SLC6A4,4061,C12=C(NCC1)C=CC(=C2)CC(N)(C)C
POBLTQSOFCAPGY-UHFFFAOYNA-N,CHEMBL2347176,6532,A,7.7,chembl20,950695,9606,SLC6A4,4061,C=1(C=CC2=C(C1)C(=CN2)CCCNO)F
PNNZNNZVEAPJMI-UHFFFAOYNA-N,90645588,25553,A,6.74232,pubchem,1159158,10116,SLC6A4,4061,ClC=1C=C(C(=O)C(NC2CC2)C)C=CC1C
PMLBVCPRUZMORG-UHFFFAOYNA-N,CHEMBL2321998,6532,A,6.66,chembl20,939921,9606,SLC6A4,4061,C1C(CNCC=C1)C2=CC(=C(C=C2)Cl)Cl
QCTBZYPIYNXORH-UHFFFAOYNA-N,CHEMBL280619,25553,A,6.52,chembl20,201644,10116,SLC6A4,4061,C=12C(=C(CC(N)CC)C=CC1NCC2)Cl
QDGNXKUDWVSTPT-UHFFFAOYNA-N,73347526,6532,A,6.92082,pubchem,761327,9606,SLC6A4,4061,ClC1=CC=C(C(C2CCNCC2)COC)C=C1
QBSBBGLHCMPGNO-UHFFFAOYNA-N,9859279,25553,A,8.55284,pubchem,444359,10116,SLC6A4,4061,ClC1=CC=C(C=2CC3NC(CC3)C2)C=C1
QEAUILQRYNKCJK-UHFFFAOYNA-N,44613067,25553,A,6.28067,pubchem,471630,10116,SLC6A4,4061,S(C1=CC=C(CC(NCC=C)C)C=C1)C
RHQTXFWQMQXRML-UHFFFAOYNA-N,CHEMBL3298868,25553,A,5.79,chembl20,1367806,10116,SLC6A4,4061,C(C(C)NC1CC1)(=O)C2=CC=C(C=C2)Cl
QHNWPRMHGXRBAO-UHFFFAOYNA-N,CHEMBL360575,6532,A,7.24,chembl20,457377,9606,SLC6A4,4061,N1C=C(CCCN(C)C)C=2C1=CC=CC2
QIHVJZFQSKBHDX-UHFFFAOYNA-N,44613069,25553,A,6.06148,pubchem,471630,10116,SLC6A4,4061,S(C1=CC=C(CC(NCCO)C)C=C1)C
RMYDTRNCYJXIEA-UHFFFAOYNA-N,44613454,25553,A,5.80272,pubchem,471630,10116,SLC6A4,4061,S(C1=CC=C(CC(N(O)C)C)C=C1)CC
RNENMPZCEJQQBI-UHFFFAOYNA-N,71727648,6532,A,7.92082,pubchem,761327,9606,SLC6A4,4061,ClC=1C=C(C(C2CCNCC2)C)C=CC1Cl
RJYPFIMVTHGQEH-UHFFFAOYNA-N,CHEMBL1077885,25553,A,5.55,chembl20,622496,10116,SLC6A4,4061,C(C(CC)NC)C=1C=CC(=CC1)SCC
SUAFTJAVJHXARK-UHFFFAOYNA-N,CHEMBL451652,6532,A,6.21,chembl20,541289,9606,SLC6A4,4061,C=1(C=CC(=CC1)C2OC(CC2)CN)OC
SKOKLDQYOKPCPU-UHFFFAOYNA-N,CHEMBL303916,25553,A,5.22,chembl20,201660,10116,SLC6A4,4061,C12=C(C=C(C(=C1)O)O)C(CCN)=CN2
SORAOFDLRJVDCY-UHFFFAOYNA-N,20468343,25553,A,5.82391,pubchem,343840,10116,SLC6A4,4061,O1C=2C=C(C34C(C3)CNC4)C=CC2OC1
VTTONGPRPXSUTJ-UHFFFAOYNA-N,CHEMBL416526,6532,A,5.92,chembl20,312698,9606,SLC6A4,4061,N1C=C(CCN(C)C)C2=C1C=CC(O)=C2
UPHGABWYFBVICE-UHFFFAOYNA-N,44613068,25553,A,6.16241,pubchem,471630,10116,SLC6A4,4061,S(C1=CC=C(CC(NCC#C)C)C=C1)C
UKMQZNZTCNFILP-UHFFFAOYNA-N,44613452,25553,A,6.32057,pubchem,471630,10116,SLC6A4,4061,S(C1=CC=C(CC(NCC)C)C=C1)CC
UCHCDHARRTZRQA-UHFFFAOYNA-N,90645583,25553,A,5.97184,pubchem,1159158,10116,SLC6A4,4061,O=C(C(NC1CC1)C)C2=CC(=CC=C2)C
SQRQFCPZJCFFPA-UHFFFAOYNA-N,CHEMBL1078836,25553,A,5.73,chembl20,622493,10116,SLC6A4,4061,C(C=1C=CC(=CC1)SC)C(C)N(O)C
TWZJMUNEYGGMHD-UHFFFAOYNA-N,CHEMBL1079058,6532,A,5.09,chembl20,622498,9606,SLC6A4,4061,NC(CC=1C=CC(=CC1)SCCN(C)C)C
TYSYFEFPDPHUTN-UHFFFAOYNA-N,CHEMBL1078351,25553,A,5.7,chembl20,622493,10116,SLC6A4,4061,C(C(CC)N(O)C)C=1C=CC(=CC1)SCC
TYVFKNAUSZXXJC-UHFFFAOYNA-N,44568652,6532,A,7.52288,pubchem,339486,9606,SLC6A4,4061,ClC=1C=C(CC=2C(CNC)=CC=CC2)C=CC1Cl
